Serial number,text,unix timestamp (milliseconds),whisper_assigned_categories,country,region,Hate targets extracted from the whisper text,Hate categories assigned by us
32,I really hate gay people. I hope there is another holocaust directed towards them.,1402522103126,"crime,hate crime,health and fitness,LGBTQ,personal offense,sexuality,society",United States,Illinois,gay people,sexual_orientation
33,The truth is: I hate stupid people.,1402524178126,"Confessions,government,law, govt and politics",United States,New York,stupid people,other
34,"I HATE stupid people.... So fucking much, I wish I could throw them.all in a hole and cover it up, ridding the earth of fucking idiots ",1402536366216,,,,stupid people,other
35,I don't like black people.   ,1402538001773,"Confessions,racism,society",United States,Missouri,black people,race
36,I hate black people fucking niggas ,1402538192013,"NSFW,sex,society",United Kingdom,England,black people,race
37,"WTH is the issue with gay marriage. Why does society say they are OK with someone being gay but they freak if they want to make it legal and public.  I hate stupid people ... 
And I am a straight guy",1402539381431,"government,law, govt and politics,LGBTQ,marriage,Q and A,social institution,society",United States,California,stupid people,other
38,I hate ugly people.,1402540441864,"dating,sexuality,society",,,ugly people,physical
39,I really hate fake people. the ones who have to lie to others to be cool and fit in.. just fucking be you and fuck what they say. seriously. ,1402544265433,"Confessions,sex,society",United States,Illinois,fake people,behavior
40,I hate country people,1402549360573,"dating,society",United States,North Carolina,country people,class
41,My mom married a black guy and is having a baby. I secretly hate black people.,1402550431725,"Parenting,racism,sex,society",,,black people,race
42,I hate selfish people ,1402555758430,"Parenting,society",United Kingdom,England,selfish people,behavior
43,I hate fake people who always makes up shit or excuses when you message them like shit just fucken tell me the truth instead of being fake making all these excuse and lies ,1402559707950,Confessions,United States,California,fake people,behavior
44,I hate rich people. Hate them. ,1402576690014,"art and entertainment,automotive and vehicles,cars,Money,Music",,,rich people,class
45,I fucking despise country people..,1402582440787,"dating,racism,society",United States,Florida,country people,class
46,I hate skinny people but I want to be one so bad.,1402585598455,"clothing,Confessions,jeans,pants,style and fashion",United States,Florida,skinny people,physical
47,"I hate fat people

I'm a fat black guy 
19m",1402591119825,"disorders,health and fitness,Meet Up,sex,society",,,fat people,physical
48,I hate ignorant people  ,1402596549095,"LGBTQ,religion and spirituality",United States,Arizona,ignorant people,behavior
49,"I'm so sick of stupid people. 
let's remove warning labels from everything. 
let natural selection take over. ",1402599061640,"Confessions,genetics,hobbies and interests,medicine,reading,science",United States,Kentucky,stupid people,other
50,I hate fake people,1402602152501,"antivirus and malware,computer security,technology and computing",,,fake people,behavior
51,I hate broke people,1402603590771,"aerospace and defense,burglary,business and industrial,Confessions,crime,property crime,society,space technology,unrest and war",,,broke people,class
52,I don't like white people,1402608262426,"Confessions,Food,food and drink,grains and pasta",,,white people,race
53,"I hate shallow people 
I watch people go out of their way to avoid me 
They make me feel so fucking ugly ",1402608480446,"Confessions,desserts and baking,food and drink,sex,society",,,shallow people,other
54,I secretly hate black people,1402612598610,"Confessions,racism,society",,,black people,race
55,I really hate rude people. They really get under my skin. ,1402615724879,"art and entertainment,Confessions,crime,hate crime,Music,personal offense,society",United States,Florida,rude people,behavior
56,The next stupid person that comes up to me. I am going to punch in the face. I hate stupid people>:( ,1402620935343,"automotive and vehicles,certified pre-owned,Confessions,government,law, govt and politics",,,stupid people,other
57,"I hate fake people. Don't pretend to be my friend, and then have a party with me off the guest list. Like what the FUCK!! I'm pissed. ",1402622658476,"antivirus and malware,computer security,Confessions,sex,society,technology and computing",United States,Arkansas,fake people,behavior
58,I really hate clingy people. It's very annoying!,1402628018009,"antivirus and malware,computer security,Confessions,Relationships,sex,society,technology and computing",United States,Connecticut,clingy people,behavior
59,"I hate religious people. 



Keep YOUR beliefs to YOURselves,
 douche bags ",1402633106164,"atheism and agnosticism,religion and spirituality",United States,Connecticut,religious people,religion
60,I hate black people,1402633836120,,,,black people,race
61,I'm sick of fake people. ,1402634804344,"antivirus and malware,cold and flu,computer security,disease,health and fitness,Health and Wellness,technology and computing",,,fake people,behavior
62,"I can't stand needy people. Which is why I can't stand clingy relationships or clingy friendships. It shows you're a weak person. 
You're the only person who is going to be with you, always.",1402635292028,,,,needy people,behavior
63,I hate fake people,1402636067107,"antivirus and malware,computer security,technology and computing",,,fake people,behavior
64,I hate indirect people ,1402636469401,"business and industrial,company,Confessions,earnings",United States,Maryland,indirect people,behavior
65,I hate white people ! ,1402638903978,"Confessions,racism,society",United States,Texas,white people,race
66,I hate gay people.,1402641658716,"health and fitness,LGBTQ,sexuality",United States,Texas,gay people,sexual_orientation
67,I honestly don't like black people bc they're so rude ,1402671096324,"Confessions,racism,society",United States,California,black people,race
68,"I have this neighbor who's been outside since 8:30 this morning just standing in one spot with a leaf blower just letting it run, he is sometimes why I hate old people.",1402675818458,"Confessions,Q and A",United States,Alabama,old people,physical
69,I hate fat people idk why i just find them highly unattractive and disgusting,1402681368999,"art and entertainment,movies,movies and tv,sex,society",United States,Arizona,fat people,physical
70,I can't stand shallow people ,1402681385334,"Advice,desserts and baking,food and drink",,,shallow people,other
71,I hate spoiled people like you ,1402690405484,"babies and toddlers,Confessions,family and parenting,food and drink,parenting teens",United States,Iowa,spoiled people,behavior
72,"I look down on black people because most of the ones I've seen are lazy, rude, and uneducated. ",1402700817213,,United States,,black people,race
73,I hate attractive people. I hate myself even more.,1402708836266,Confessions,United States,Indiana,attractive people,physical
74,I hate fake people,1402710856187,,,,fake people,behavior
75,I just don't know why people have to make the littlest fucking things such a big damn deal. I fucking hate ignorant people 😑 ,1402711532372,Confessions,United States,Missouri,ignorant people,behavior
76,I can't stand RUDE people in the grocery store... I ran into a lady on purpose :)  ,1402712111818,Food,United States,Pennsylvania,rude people,behavior
77,I hate fake people ,1402715257340,Confessions,,,fake people,behavior
78,"Sometimes I want a true friend ,. I really hate fake people around me ",1402716825597,Confessions,United States,New York,fake people,behavior
79,I hate fat people that talk shit about other people for being fat ,1402718006576,Health and Wellness,United States,New Jersey,fat people,physical
80,I hate gay people ,1402720336603,LGBTQ,,,gay people,sexual_orientation
81,I kinda hate fat people ,1402730523050,Health and Wellness,Australia,New South Wales,fat people,physical
82,Right now I'd pay someone to run down my boyfriend. I fucking hate nasty people! ,1402735436976,"Confessions,Relationships",Australia,Western Australia,nasty people,behavior
83,I despise stupid people,1402749094576,Parenting,France,Comunidad de Madrid,stupid people,other
84,I hate happy people laughing constantly on the bus.shut the fuck up!!!!!,1402754742212,Confessions,Russian Federation,Scotland,happy people,behavior
85,I hate old people. Especially nursing homes and old age homes. They creep me the fuck out. I walk in all the old lady's drool *gag*. ,1402780802953,Confessions,United States,New Jersey,old people,physical
86,"I hate black people their fucking retarded, I hate everyone also, their all retarded and should die",1402783870269,Confessions,,,black people,race
87,I hate drunk people :( ,1402784261302,Drugs and Alcohol,,,drunk people,other
88,I hate white people so fucking much ,1402787748961,Confessions,,,white people,race
89,I hate immature people ,1402794492683,Celebrities and Pop Culture,United States,Virginia,immature people,behavior
90,I hate judgmental people. there is no need to be cruel to others. :( ,1402795153834,Confessions,United States,Texas,judgmental people,behavior
91,I hate black people but I love rap music is that wrong?,1402796517108,,Canada,,black people,race
92,I hate gay people,1402799623829,LGBTQ,,,gay people,sexual_orientation
93,I hate mean people . Just stop. ,1402801505547,Confessions,,,mean people,behavior
94,I hate black people they're uneducated and trashy,1402802492334,Family,United States,Massachusetts,black people,race
95,"I'm so sick of mean people on here, just in general. All I want is a relationship with a sweet girl, is that so hard? I'm a guy",1402805447364,"Confessions,Q and A",United States,Texas,mean people,behavior
96,I hate stubborn people -.-,1402810140370,Confessions,,,stubborn people,behavior
97,"I secretly don't like
fat people
Being friends with one makes me look bad",1402831378899,Confessions,,,fat people,physical
98,I hate Chinese people.,1402849112900,Food,,,chinese people,ethnicity
99,"I hate gay people and black people
",1402856566256,LGBTQ,,,gay people,sexual_orientation
100,When I'm on the phone with my long distance boyfriend he burps on the phone and says deal with it. I hate rude people.,1402857986261,"Confessions,Relationships",United States,California,rude people,behavior
101,I hate racist people. Like I'm white but other white bitches making fun or calling people with different race names it's not right it's pathetic. I sound most likely extremely stupid hahah💃,1402866590518,Confessions,Canada,Alberta,racist people,race
102,I can't stand ignorant people!!!!!,1402870142541,Parenting,United States,North Carolina,ignorant people,behavior
103,"I hate rude people on whisper. Go fuck yourself and let me, be me",1402870529679,Confessions,,,rude people,behavior
104,"People think I'm a prude when they first meet me, but no, I just don't like new people, especially lots of them.",1402876578072,Confessions,United States,Kansas,new people,other
105,I hate old people. ,1402877830826,Confessions,United States,Illinois,old people,physical
106,I hate black people!!!,1402881267780,Confessions,United States,California,black people,race
107,I hate fake people.... ,1402882713560,Confessions,United States,California,fake people,behavior
108,I hate homophobic people.,1402883457944,LGBTQ,United States,Georgia,homophobic people,sexual_orientation
109,I hate creepy people,1402916846721,Confessions,Canada,British Columbia,creepy people,behavior
110,I hate stupid people ,1402919961274,Confessions,,,stupid people,other
111,I thought we were friends but I guess not... I hate fake people,1402926258326,Confessions,United States,Texas,fake people,behavior
112,I hate stereotypical people,1402934838204,Confessions,United States,Florida,stereotypical people,other
113,I fucking hate shady people ,1402943206190,Confessions,United States,Pennsylvania,shady people,behavior
114,I really don't like childish people. They irritate my soul.,1402944077576,Confessions,United States,California,childish people,behavior
115,Some people don't make choices for themselves. They depend on their religion to do it for them. I hate religious people. ,1402946147406,,,,religious people,religion
116,I hate black people,1402946298376,Confessions,,,black people,race
117,"I hate rude people, liars, and players",1402947147814,Sports,United States,Georgia,rude people,behavior
118,"




I hate racist people",1402950879110,Confessions,United States,Texas,racist people,race
119,"I hate happy people, yet annoyed by sad people ",1402952043584,Confessions,United States,New York,happy people,behavior
120,"I do not like fat people. :( sorry, you gotta take care of your body",1402961655989,Health and Wellness,Canada,Ontario,fat people,physical
121,I hate fake people,1402962441288,,,,fake people,behavior
122,I hate fake people. Why can't you just be yourself and stop being something your not,1402966106653,Advice,United States,Georgia,fake people,behavior
123,Damn I hate fake people smh 😔,1402966522802,Confessions,Canada,Washington,fake people,behavior
124,I hate rude people... I hate them so much I want to punch them ,1402968712707,Confessions,United States,Colorado,rude people,behavior
125,I hate fake people that smile in my face but feel a type a way. I can't hold my tongue anymore,1402968895350,Tattoos and Piercings,United States,Massachusetts,fake people,behavior
126,I hate white people,1402969332990,Confessions,United States,California,white people,race
127,I can't stand shady people who start a relationship without having finished another one! ,1402971069747,Confessions,,,shady people,behavior
128,I hate black people,1402973579942,Confessions,United States,Texas,black people,race
129,I had a miscarriage when I was 14. Now I secretly hate pregnant people and babies ,1402974944746,Parenting,Canada,Washington,pregnant people,gender
130,I'm So Sick Of Religious People.,1402975129946,,United States,Illinois,religious people,religion
131,Fuck I hate fake people. ,1402975864032,Confessions,United States,Arizona,fake people,behavior
132,I can't stand inconsiderate people,1402979727457,Confessions,,,inconsiderate people,behavior
133,People always think I'm quiet and shy but I don't really talk because I hate fake people and would rather be alone than around them. ,1402980612675,Confessions,United States,Nebraska,fake people,behavior
134,I HATE overweight people UNLESS they are actively committed to losing weight.,1402982194904,Health and Wellness,,,overweight people,physical
135,I really don't like country people,1402983302009,,United States,Ohio,country people,class
136,I truly don't understand catfishing... I hate fake people and if someone doesn't like me for 100% me they aren't worth it. I'd never catfish. Pointless to me.,1402983690903,Confessions,United States,Minnesota,fake people,behavior
137,"I hate stupid people. This is NOT a dating site... This might be news to some, but it's very true.",1402986521919,"Confessions,Relationships",,,stupid people,other
138,I don't like gay people.,1402999028630,LGBTQ,United Kingdom,England,gay people,sexual_orientation
139,"                 i hate fake people
                   need real friend
     not for time pass,  for enjoy lyf.",1403002360858,Confessions,India,Gujarat,fake people,behavior
140,I seriously hate religious people.,1403010475898,,United States,Illinois,religious people,religion
141,"I hate stereotypical people. No, not all of us fit girls are bitches. I've actually met more fat girls with an attitude problem than I have skinny girls. Weight doesn't determine personality. ",1403018475615,Health and Wellness,,,stereotypical people,other
142,I hate cheap people! ,1403021751691,Money,United States,California,cheap people,behavior
143,I hate black people,1403023204112,Confessions,,,black people,race
144,I really Can't stand cheap people. My dad is extremely cheap and I can't stand it. Idk how my mom deals,1403029525990,Money,United States,Michigan,cheap people,behavior
145,I hate fake people,1403031223643,,,,fake people,behavior
146,"Stop blaming religious people! It's ridiculous! ""I don't like religious people because they're homophobic"" SHUT UP! You're being rude. Not all of us are like that! INCONSIDERATE JERKS!  ",1403031931040,,,,religious people,religion
147,I hate immature people.,1403037032368,Celebrities and Pop Culture,,,immature people,behavior
148,I hate Childish people,1403037801184,Confessions,,,childish people,behavior
149,I can't stand gay people ,1403042880022,LGBTQ,Canada,British Columbia,gay people,sexual_orientation
150,"Every time a gay person passes me I get as far away as possible.
TBH I hate gay people",1403054988095,LGBTQ,,,gay people,sexual_orientation
151,"I hate flaky people! You said ""in 2 hours"" 5 hours ago...   ",1403059607847,Confessions,United States,Florida,flaky people,behavior
152,"I cannot stand lazy people, the ones that are too lazy to go out and get a job or do something with their life. ",1403059643913,Confessions,,,lazy people,behavior
153,I hate loud people,1403063260812,Music,United States,North Carolina,loud people,behavior
154,I hate racist people,1403063342583,Politics,,,racist people,race
155,i hate ugly people. like they really scare me. like seriously just stay away from me!!,1403070458077,Confessions,,,ugly people,physical
156,I hate gay people,1403078149199,LGBTQ,,,gay people,sexual_orientation
157,I hate stupid people,1403093158593,Confessions,,,stupid people,other
158,"I hate old people, they are so rude.",1403099617498,Confessions,United States,New Jersey,old people,physical
159,I hate short people.,1403102557261,Fashion,United States,New York,short people,physical
160,I Hate Popular People Even Though I Used To Be Popular In School.,1403112560846,School,,,popular people,behavior
161,I hate shallow people ,1403118471079,Confessions,United Kingdom,England,shallow people,other
162,I hate fake people. I haven't had to deal with this shit since high school.  Grow the fuck up. ,1403123709563,School,United States,Maryland,fake people,behavior
163,"I'm so sick of fake people!! I can't stand it... Why can't everyone just be, I dunno..... Real?!? ",1403128659061,"Confessions,Q and A",,,fake people,behavior
164,I hate rude people 😆😠,1403128946062,Confessions,,,rude people,behavior
165,"I HATE Asian people ... soo ugly, untrustwurthy ...",1403130096408,Confessions,,,asian people,ethnicity
166,"sry, but i actually hate gay people",1403130183477,LGBTQ,,,gay people,sexual_orientation
167,I'm sick of fake people who act super nice to my face then talk shit and say rude things behind my back when they think I can't hear.,1403130749472,Confessions,,,fake people,behavior
168,I'm racist. I hate black people  ,1403133079112,Confessions,United States,Arizona,black people,race
169,I hate attractive people so much,1403137881921,Confessions,United States,Massachusetts,attractive people,physical
170,I hate poor people they should just kill themselves,1403143356230,Money,,,poor people,class
171,i hate greedy people 😒 in every sense of the word ,1403145314919,Confessions,United States,Florida,greedy people,behavior
172,I hate white people they are a bunch or uneducated rednecks. ,1403148641706,Confessions,United States,California,white people,race
173,I'm white and I hate white people ,1403148910884,Confessions,,,white people,race
174,I'm gay and can never meet anyone cause I don't like gay people. ,1403155377765,LGBTQ,United States,Florida,gay people,sexual_orientation
175,I don't like gay people I think it's nasty don't judge me ,1403164498370,LGBTQ,United States,Wisconsin,gay people,sexual_orientation
176,"I hate gay people.  I know they want their rights and they can have their rights. But damn take your rights, shut the fuck up and live your life. ",1403184115026,"LGBTQ,Politics",United States,Alabama,gay people,sexual_orientation
177,I hate ignorant people because it is so easy to not be ignorant. There is no excuse.,1403184402223,Confessions,Australia,New South Wales,ignorant people,behavior
178,I hate rude people😔,1403188141669,Confessions,United States,New York,rude people,behavior
179,"I'm so sick of religious people trying to shove their beliefs down my throat. Not everyone has to be in line with your beliefs, holy shit. ",1403195860948,,,,religious people,religion
180,"I know it's a horrible thing to say. But i just don't like fat people. 
I feel uncomfortable around them.
I don't know why.
Sorry if this offended someone. ",1403196142480,Confessions,,,fat people,physical
181,I tried to beat up a skinny white girl because I hate white people. I almost got arrested. Why should I go to jail white people are trashy. And skinny people are gross. It's like they exercise too much and don't eat enough. ,1403196916190,Health and Wellness,United States,California,white people,race
182,"I can't stand fat people who think they are actually attractive.  Cellulite, cholesterol,  and heart disease are NOT sexy. Put the cookies down, drink a water and go for a walk. ",1403197213697,NSFW,United States,Minnesota,fat people,physical
183,I secretly Hate Obese People or People who breathe so heavy you can hear it. Makes Me wanna Punch both obese people and the ones who breathe heavy,1403204234253,Confessions,United States,Iowa,obese people,physical
184,Gosh I hate dumb people when they try to make me feel dumb. ,1403205105547,Confessions,United States,Kentucky,dumb people,other
185,I hate ignorant people! ,1403208430616,LGBTQ,United States,Florida,ignorant people,behavior
186,I hate Asian people ,1403209000128,Confessions,,,asian people,ethnicity
187,I hate straight people ,1403211380261,LGBTQ,,,straight people,sexual_orientation
188,I really hate stupid people ,1403215092655,Confessions,United States,Tennessee,stupid people,other
189,I really don't like stupid people who fucking understand absolutely nothing you tell them,1403218980375,Confessions,,,stupid people,other
190,I really hate conceited people ,1403222286013,,,,conceited people,behavior
191,I hate fat people,1403222803129,Health and Wellness,United States,California,fat people,physical
192,I hate black people and gays.,1403227410645,LGBTQ,United States,Minnesota,black people,race
193, I'm white and I hate white people anyway because they're so racist. Fucking annoying dude!,1403229661199,Confessions,United States,Pennsylvania,white people,race
194,I hate selfish people ,1403238269900,Parenting,Canada,Québec,selfish people,behavior
195,"I hate selfish people
",1403238490042,Parenting,Canada,Québec,selfish people,behavior
196,I hate religious people.  They sound so unrealistic and naive. I'm jealous ,1403238766492,,,,religious people,religion
197,I hate clingy people.,1403244138711,"Confessions,Relationships",,,clingy people,behavior
198,I hate old people who think they deserve special treatment just for being old.,1403263226304,Confessions,United States,Ohio,old people,physical
199,I hate old people. JUST BECAUSE IM YOUR FUCKING GRANDCHILD. DOES NOT MEAN I KNOW WHERE EVERYTHING IS AT IN YOUR HOUSE. Open up your fucking eyes.,1403292977803,Confessions,United States,Kansas,old people,physical
200,I hate black people they are trashy  ,1403299292040,,United States,Missouri,black people,race
201,I hate fake people,1403299974227,,United Kingdom,England,fake people,behavior
202,I don't like ugly people. ,1403302445219,Confessions,United States,North Dakota,ugly people,physical
203,I can't stand ignorant people.,1403310623999,Parenting,,,ignorant people,behavior
204,He's so perfect.  Except for the fact he won't stop lying.  I hate dishonest people. ,1403314230521,Confessions,,,dishonest people,behavior
205,I hate judgemental people and I find myself doing it as I get older ! Hate it about me !,1403314458026,Confessions,New Zealand,Hawke's Bay,judgemental people,behavior
206,"Oh blahhhh , I hate stupid people ",1403314489577,Confessions,Canada,Washington,stupid people,other
207,I hate old people,1403318401395,Confessions,United States,Nevada,old people,physical
208,I fucking hate old people,1403324417812,Confessions,United States,California,old people,physical
209,I can't stand racist people .. Ugh ,1403329943523,Confessions,United States,North Carolina,racist people,race
210,I hate black people.,1403331287506,Confessions,United States,Louisiana,black people,race
211,I hate judgemental people!,1403344160356,,United States,Wisconsin,judgemental people,behavior
212,according to my family I'm a racist because I don't like black people.....but its just the ghetto ones I don't like.....and they just so happen to be the majority of black people ,1403363913131,Confessions,United States,Wisconsin,black people,race
213,I hate religious people! They hate me cos I'm gay.  Being Gay is natural.  Talking snakes aren't! ,1403364747842,LGBTQ,United Kingdom,England,religious people,religion
214,I hate black people with a passion! Go back to Africa please ! Thanks !,1403368486744,,United States,Louisiana,black people,race
215,I absolutely despise gay people who find it all right to not respect a straight mans sexual preferences or his relationship. ,1403369900533,NSFW,United States,California,gay people,sexual_orientation
216,I hate fat people because being fat is a choice.. fix yourself,1403372524024,Health and Wellness,United States,Arizona,fat people,physical
217,"I hate black people, women, and gays.",1403374807614,LGBTQ,United States,Illinois,black people,race
218,I hate fake people with a passion ,1403376534393,Confessions,United States,New Jersey,fake people,behavior
219,I fucking hate black people,1403384390182,Confessions,United States,Ohio,black people,race
220,"I hate ghetto people. .. I hate rap... I hate how every rapper thinks he's ""the realist"" ",1403385671013,Confessions,United States,Oklahoma,ghetto people,class
221,"I love my job. I hate drunk people, yet I work in a bar...",1403407222277,Drugs and Alcohol,United Kingdom,England,drunk people,other
222,"I really don't like drunk people. I find them obnoxious and aggressive, even if they're cool when they're sober.",1403419307823,,,,drunk people,other
223,I fucking hate gay people. Marriage I between a man and a women. Not a man and a man or a girl with a girl.,1403419398938,LGBTQ,United States,Indiana,gay people,sexual_orientation
224,"I hate black people







Being racially vilified ",1403434079358,Confessions,New Zealand,Wellington,black people,race
225,It's official I can't stand dumb people ,1403446128304,Confessions,United States,Kentucky,dumb people,other
226,I hate fat people,1403455062475,Health and Wellness,,,fat people,physical
227,I don't like racist people ,1403459324039,Confessions,,,racist people,race
228,I hate jealous people. ,1403462174926,Confessions,,,jealous people,behavior
229,I hate white people. I just really don't like crackers. Hate 'em. ,1403462834187,Confessions,,,white people,race
230,I hate fake people. Either be my friend all the time or not at all. ,1403468131653,Confessions,United States,Arizona,fake people,behavior
231,I hate fat people.,1403472484334,Health and Wellness,,,fat people,physical
232,"Sometimes I wish that I had more friends to go out and party with. Then I remember how much I hate drunk people and how much I like staying home, then I'm okay with it.",1403480818591,"Confessions,Drugs and Alcohol",United States,Nebraska,drunk people,other
233,I don't like uneducated people. ,1403480984869,Confessions,Canada,Ontario,uneducated people,other
234,I don't like ugly people ,1403481002408,Confessions,Canada,Ontario,ugly people,physical
235,"I am so sick of selfish people who can't stop talking about themselves, but as soon as you have a problem and need help they walk away from you. ",1403486848440,Confessions,United States,Michigan,selfish people,behavior
236,"I love my son more than anything in this world. Yes He's autistic so what everybody is different,I hate ignorant people for  let their children bullying a special need child who's trying to be nice",1403490221866,Q and A,United States,New Jersey,ignorant people,behavior
237,"I hate fake people, but my Bestfriend is plastic...",1403496199167,"Confessions,Relationships",United States,New Jersey,fake people,behavior
238,I hate Chinese people,1403498336546,Food,United States,New Jersey,chinese people,ethnicity
239,I hate country people with a passion but I live in a town full of them. ,1403498924393,,United States,Illinois,country people,class
240,"I love my mother because she's my mother, but I think I truly hate her as a person. all the negative things I hate in people and society, she does and says on a regular basis. ",1403512973645,Family,United States,California,in people,other
241,I really don't like ignorant people ,1403527668532,LGBTQ,Canada,British Columbia,ignorant people,behavior
242,"I Hate Religious People That Think Everything Is A Sin & Bad.
ANNOYING!. ",1403551834475,,United States,California,religious people,religion
243,I hate fat people,1403553159896,Health and Wellness,Canada,Ontario,fat people,physical
244,i live in texas but i hate country people and music and anything country idk ugh??,1403556619605,Q and A,United States,Texas,country people,class
245,I hate stupid people who think they're intelligent.... ,1403557956394,Confessions,,,stupid people,other
246,"I don't know why, but I hate black people with a passion. #WHITEPOWER!! ",1403559484404,Confessions,,,black people,race
247,I hate black people because they disgust me & i was taught when i was younger that they were useless ,1403562311621,Confessions,,,black people,race
248,I really hate fat people at pools. Im a  lifeguard and id let them drown. ,1403563545505,Music,United States,Colorado,fat people,physical
249,"I hate fake people
",1403570726195,Confessions,,,fake people,behavior
250,"So I don't get why me supporting marriage between a man and a woman makes everyone automatically assume I hate Gay people and want the government to force them to be unhappy. 
For the record. I don't think that. ",1403577261727,"LGBTQ,Politics",United States,Ohio,gay people,sexual_orientation
251,I don't like rude people at all. ,1403577740951,,,,rude people,behavior
252,"I hate old people so much






Even my grandparents",1403579394841,Family,,,old people,physical
253,"Why does my complexion matter to you.
It's 2014, not 1900s color shouldn't matter. I freaking hate stereotypical people ",1403579683599,Q and A,United States,Ohio,stereotypical people,other
254,I hate black people. ,1403584854904,Confessions,,,black people,race
255,I really hate fat people.... ,1403588159732,Health and Wellness,United States,North Carolina,fat people,physical
256,I hate fat people. To be specific the type that are more blubbery fat full of folds and stench. I think FA is bullshit. If you love and respect yourself and is confident then you wouldn't immobilize yourself ,1403604016284,Confessions,United States,California,fat people,physical
257,I hate country people and country music. ,1403617638997,,,,country people,class
258,I really hate Chinese people but I'll always pick Chinese food over pizza,1403621572038,Food,,,chinese people,ethnicity
259,I hate black people,1403628372119,Confessions,,,black people,race
260,"I fucking hate fat people. how do you get to a certain point and NOT be like ""Damn.. I better work out.""",1403629242184,"Confessions,Health and Wellness",United States,Arizona,fat people,physical
