Tweet id (you need to refetch them using Twitter API),Hate targets extracted from the tweet text,Hate categories assigned by us
 475856094917820416 ,ignorant people,behavior
 475858867361153024 ,serious people,behavior
 475865628549472256 ,stupid people,other
 475865905399103488 ,spiteful people,behavior
 475870196159115265 ,white people,race
 475880669323616256 ,arrogant people,behavior
 475885308223840256 ,fake people,behavior
 475886830768758786 ,racist people,race
 475904769811177472 ,white people,race
 475908154593927168 ,ugly people,physical
 475908238488399872 ,selfish people,behavior
 475914634793594880 ,inconsiderate people,behavior
 476001033282256897 ,nosey people,behavior
 476007677072773120 ,shady people,behavior
 476012651508539392 ,white people,race
 476038500991918081 ,white people,race
 476041260839362562 ,fake people,behavior
 476048957374595072 ,fat people,physical
 476073536013238272 ,cheap people,behavior
 476074978874384384 ,asian people,ethnicity
 476078338495504384 ,ghetto people,class
 476078602736246784 ,sensitive people,behavior
 476087469511696384 ,stupid people,other
 476089365324898304 ,cocky people,behavior
 476094960522264576 ,dumb people,other
 476101650453520384 ,white people,race
 476104192193753088 ,white people,race
 476104380937027586 ,white people,race
 476110148100833280 ,white people,race
 476111100191059968 ,selfish people,behavior
 476114543715037184 ,dumb people,other
 476123699897438208 ,immature people,behavior
 476124568105779200 ,rude people,behavior
 476125830595493888 ,white people,race
 476128187777548288 ,immature people,behavior
 476151654916825088 ,insecure people,behavior
 476167593288802304 ,fake people,behavior
 476169677849522176 ,black people,race
 476169967272869889 ,black people,race
 476170290201116673 ,black people,race
 476170453799936002 ,black people,race
 476171527541751808 ,black people,race
 476182218801295360 ,broke people,class
 476182814426431488 ,shitty people,behavior
 476187155518464000 ,broke people,class
 476190875878309888 ,tall people,physical
 476192092214272001 ,fake people,behavior
 476199520305700864 ,cocky people,behavior
 476208076698435584 ,negative people,behavior
 476212090672513024 ,dumb people,other
 476240922305232896 ,dumb people,other
 476246056137531393 ,childish people,behavior
 476247998083506176 ,fake people,behavior
 476259737965572096 ,rude people,behavior
 476261667341225988 ,white people,race
 476266314625859586 ,black people,race
 476266553697390593 ,inconsiderate people,behavior
 476273688187133956 ,old people,physical
 476274728408481793 ,negative people,behavior
 476296622645596162 ,bitchy people,behavior
 476313810924748800 ,rich people,class
 476325244593270784 ,ignorant people,behavior
 476348153885900800 ,loud people,behavior
 476348841722392576 ,spoiled people,behavior
 476355036747165696 ,ignorant people,behavior
 476400280666660864 ,disrespectful people,behavior
 476406479847952385 ,selfish people,behavior
 476422497919717376 ,judgemental people,behavior
 476425773684121600 ,whiny people,behavior
 476454630478450688 ,awkward people,behavior
 476457902027603968 ,black people,race
 476469302141661185 ,white people,race
 476472770847838208 ,inconsistent people,behavior
 476479276208762880 ,asian people,ethnicity
 476479787909668865 ,selfish people,behavior
 476481788580483072 ,shady people,behavior
 476489376080617472 ,clingy people,behavior
 476494446993743872 ,insecure people,behavior
 476494950335795200 ,conceited people,behavior
 476496787440939008 ,rude people,behavior
 476499006202183680 ,shady people,behavior
 476508367918481408 ,slow people,behavior
 476522460746366976 ,stupid people,other
 476523408680050689 ,dramatic people,behavior
 476525300298178560 ,homophobic people,sexual_orientation
 476527787525025793 ,nasty people,behavior
 476528924202000384 ,shady people,behavior
 476542933160583168 ,ugly people,physical
 476546045347119104 ,white people,race
 476558535967268864 ,black people,race
 476558796018294785 ,ignorant people,behavior
 476572536558587905 ,fake people,behavior
 476573761294958592 ,fake people,behavior
 476577204827348992 ,white people,race
 476582950994071552 ,judgmental people,behavior
 476583781499801600 ,sneaky people,behavior
 476590429472038912 ,friendly people,behavior
 476599422063628288 ,mean people,behavior
 476599451419951104 ,cocky people,behavior
 476599585603743744 ,negative people,behavior
 476602714580078592 ,white people,race
 476611191268069376 ,skinny people,physical
 476622717207478272 ,black people,race
 476623656726982656 ,fake people,behavior
 476634331218460672 ,drunk people,other
 476684113446182912 ,old people,physical
 476687338840416256 ,bipolar people,disability
 476704606781599744 ,ugly people,physical
 476713901380632577 ,iffy people,behavior
 476735166497697792 ,black people,race
 476740971414040577 ,rude people,behavior
 476741059511197696 ,rude people,behavior
 476741512470884352 ,rude people,behavior
 476745312518672384 ,rude people,behavior
 476746063311695872 ,white people,race
 476748214960279552 ,rude people,behavior
 476751780127072256 ,rich people,class
 476754556786073600 ,fake people,behavior
 476757681516986369 ,rude people,behavior
 476764224631603200 ,rude people,behavior
 476776438449074176 ,bipolar people,disability
 476787884692107264 ,stupid people,other
 476801059025739776 ,white people,race
 476813100860309504 ,shady people,behavior
 476815562908393472 ,indirect people,behavior
 476821619474980864 ,racist people,race
 476824870073151488 ,dishonest people,behavior
 476826124170035202 ,sensitive people,behavior
 476830637236961281 ,stupid people,other
 476831736136208385 ,rude people,behavior
 476843798958325760 ,selfish people,behavior
 476844105142525952 ,homophobic people,sexual_orientation
 476845157929984002 ,stupid people,other
 476854813213589504 ,sneaky people,behavior
 476856549650870272 ,stupid people,other
 476864871175561216 ,fake people,behavior
 476868121723412480 ,skinny people,physical
 476876074140172288 ,black people,race
 476876543906816000 ,stupid people,other
 476885607793586178 ,hypocritical people,behavior
 476891127497641985 ,stupid people,other
 476896244535541760 ,white people,race
 476896890466742272 ,shitty people,behavior
 476897863549845504 ,racist people,race
 476898337526800385 ,stupid people,other
 476922098233790464 ,judgmental people,behavior
 476926577750470656 ,friendly people,behavior
 476927475348688897 ,black people,race
 476928087700283392 ,straight people,sexual_orientation
 476928486175940608 ,stupid people,other
 476929174016638976 ,gay people,sexual_orientation
 476929849299173376 ,selfish people,behavior
 476931086636048384 ,stupid people,other
 476936384029392896 ,greedy people,behavior
 476943313015013377 ,petty people,behavior
 476953538728591360 ,shy people,behavior
 476957460427587584 ,disrespectful people,behavior
 476961281443110912 ,white people,race
 476968164299776000 ,slow people,behavior
 476971507126521857 ,cocky people,behavior
 476972048204320768 ,ungrateful people,behavior
 476973742686343168 ,fake people,behavior
 476980428428296192 ,hot people,physical
 476981091115335680 ,sometimey people,other
 476982018048548864 ,than people,other
 476984916345757696 ,fake people,behavior
 477060812272857089 ,black people,race
 477103996810055680 ,fake people,behavior
 477107125752451073 ,homeless people,class
 477115594047635456 ,old people,physical
 477124335002730496 ,black people,race
 477141623906660353 ,rude people,behavior
 477149890888597504 ,ignorant people,behavior
 477160921899757568 ,nosey people,behavior
 477161056146825216 ,petty people,behavior
 477167691510190080 ,nosy people,behavior
 477170770117160960 ,racist people,race
 477194040153088001 ,mexican people,behavior
 477203095638659072 ,ungrateful people,behavior
 477206484615299072 ,white people,race
 477207285756739584 ,pushy people,behavior
 477212826407145472 ,stupid people,other
 477228857032863744 ,pushy people,behavior
 477236197073223681 ,rude people,behavior
 477242517893558272 ,fake people,behavior
 477247727240110080 ,white people,race
 477253968360267776 ,judgmental people,behavior
 477255000142258176 ,stingy people,behavior
 477258070389575680 ,racist people,race
 477267939557523456 ,white people,race
 477271592821469184 ,negative people,behavior
 477277355770015744 ,rude people,behavior
 477281424261664769 ,black people,race
 477285404664549376 ,cocky people,behavior
 477292929258508288 ,ungrateful people,behavior
 477295168991674368 ,sketchy people,behavior
 477298893521055745 ,messy people,behavior
 477300197966360576 ,white people,race
 477301259125264384 ,selfish people,behavior
 477315553325879297 ,shitty people,behavior
 477319059734687744 ,shitty people,behavior
 477320393523331072 ,stupid people,other
 477328194937176064 ,black people,race
 477329184818077696 ,ungrateful people,behavior
 477334368965259264 ,childish people,behavior
 477353738248536064 ,fake people,behavior
 477366014972162049 ,white people,race
 477367457846288384 ,selfish people,behavior
 477371073323732992 ,selfish people,behavior
 477396809577672704 ,disrespectful people,behavior
 477411451884158976 ,racist people,race
 477414215909527552 ,selfish people,behavior
 477428531098423296 ,petty people,behavior
 477433820111597569 ,shitty people,behavior
 477438689711099904 ,ignorant people,behavior
 477442619773952000 ,rude people,behavior
 477446390432280576 ,black people,race
 477458105123368960 ,temporary people,other
 477467198361837569 ,cocky people,behavior
 477471350756368385 ,nosey people,behavior
 477476761395937283 ,clingy people,behavior
 477483887526809600 ,fake people,behavior
 477486810939940864 ,selfish people,behavior
 477488450933755904 ,rude people,behavior
 477495308595642368 ,stupid people,other
 477496764014919680 ,happy people,behavior
 477527151751610369 ,ugly people,physical
 477529391501541376 ,unorganized people,behavior
 477538317014036480 ,stupid people,other
 477540124746465281 ,lazy people,behavior
 477542473540333568 ,fake people,behavior
 477545103381118976 ,ignorant people,behavior
 477550547571331074 ,skinny people,physical
 477568830563442688 ,sketchy people,behavior
 477571724645367808 ,black people,race
 477572487983546368 ,rude people,behavior
 477578070619348992 ,childish people,behavior
 477583850374447104 ,drunk people,other
 477591895024345089 ,drunk people,other
 477605656535764992 ,clingy people,behavior
 477607934034477056 ,shady people,behavior
 477620735075053568 ,fat people,physical
 477622689616506880 ,fake people,behavior
 477628452586393600 ,fake people,behavior
 477630113547579392 ,ugly people,physical
 477640561562628096 ,rude people,behavior
 477640632844832768 ,black people,race
 477641228444368896 ,black people,race
 477641673040601090 ,black people,race
 477641756935454720 ,black people,race
 477649021436461056 ,fake people,behavior
 477658769027895296 ,judgmental people,behavior
 477659947606769664 ,drunk people,other
 477661113627058177 ,cocky people,behavior
 477662539686625280 ,immature people,behavior
 477665077269917697 ,black people,race
 477674615112605696 ,fake people,behavior
 477674636063154176 ,fake people,behavior
 477677760815431680 ,fake people,behavior
 477684140356026369 ,clingy people,behavior
 477687449682853888 ,stupid people,other
 477689983038656513 ,stupid people,other
 477690700239077376 ,white people,race
 477697042030923777 ,black people,race
 477704352727965697 ,white people,race
 477722920878231552 ,black people,race
 477740662817685504 ,temporary people,other
 477744806794641408 ,cocky people,behavior
 477755196047912960 ,phony people,behavior
 477770924691693569 ,negative people,behavior
 477772157838430209 ,black people,race
 477789597758287872 ,childish people,behavior
 477795264238206976 ,fake people,behavior
 477817250796539904 ,flakey people,behavior
 477824985109508096 ,black people,race
 477852696871833600 ,iffy people,behavior
 477853590250192896 ,old people,physical
 477860334695219200 ,negative people,behavior
 477863002277175296 ,emotional people,behavior
 477870799479918592 ,sarcastic people,behavior
 477879779492769792 ,white people,race
 477886343549165568 ,ungrateful people,behavior
 477887954157711360 ,judgmental people,behavior
 477900524499386369 ,white people,race
 477904374883041281 ,lazy people,behavior
 477905079509745664 ,white people,race
 477905876456849408 ,nosey people,behavior
 477919398854811648 ,old people,physical
 477920678151462912 ,bitchy people,behavior
 477921571533631488 ,white people,race
 477929775592652801 ,white people,race
 477929884636184576 ,petty people,behavior
 477930702508281856 ,ignorant people,behavior
 477930996134707201 ,immature people,behavior
 477936515817811968 ,unreliable people,behavior
 477942417195139072 ,black people,race
 477944933798936577 ,drunk people,other
 477945084785094656 ,white people,race
 477954891085000705 ,drunk people,other
 477954958189277184 ,inconsistent people,behavior
 477967264260841472 ,black people,race
 477969130730311681 ,old people,physical
 477970133172776960 ,sensitive people,behavior
 477972632995135489 ,fake people,behavior
 477973882872532992 ,gay people,sexual_orientation
 477984406389686272 ,fake people,behavior
 477984901308768259 ,fake people,behavior
 477987250119405568 ,fake people,behavior
 477987518567415808 ,attractive people,physical
 477987573110177792 ,fake people,behavior
 477988445496029184 ,shitty people,behavior
 477991868048089089 ,old people,physical
 477992467833163777 ,indirect people,behavior
 478004627146018816 ,broke people,class
 478016270504570881 ,racist people,race
 478025791583055872 ,black people,race
 478029558063853568 ,stupid people,other
 478063414515097600 ,fake people,behavior
 478084977398407168 ,dramatic people,behavior
 478094855005278208 ,drunk people,other
 478138526102720512 ,ignorant people,behavior
 478199184118779904 ,bitter people,behavior
 478199192494813185 ,fake people,behavior
 478199242839035904 ,fake people,behavior
 478205953738047488 ,spoiled people,behavior
 478210319979122690 ,nosey people,behavior
 478215885816332288 ,loud people,behavior
 478217500656934914 ,tall people,physical
 478223846622109696 ,pregnant people,gender
 478226879124889600 ,obnoxious people,behavior
 478228703608963073 ,negative people,behavior
 478231908091170817 ,immature people,behavior
 478239432651177984 ,judgemental people,behavior
 478244461630455808 ,hot people,physical
 478250430141448192 ,racist people,race
 478250547582369792 ,pretty people,physical
 478259858936844288 ,ungrateful people,behavior
 478260047672532995 ,ungrateful people,behavior
 478260320277106689 ,ungrateful people,behavior
 478260945245204480 ,ungrateful people,behavior
 478261905757585408 ,sneaky people,behavior
 478264275530571778 ,negative people,behavior
 478265097614548992 ,ungrateful people,behavior
 478266653671579649 ,negative people,behavior
 478267534513168384 ,clingy people,behavior
 478271951094677504 ,random people,other
 478273603658870785 ,ungrateful people,behavior
 478277030380068864 ,dumb people,other
 478290997411991552 ,black people,race
 478307271324479489 ,negative people,behavior
 478308475085537280 ,fake people,behavior
 478313575367204866 ,ugly people,physical
 478316914033590272 ,temporary people,other
 478322953843519488 ,manipulative people,behavior
 478325403304476672 ,fake people,behavior
 478339718456045568 ,ungrateful people,behavior
 478344835510726656 ,fake people,behavior
 478346781692923905 ,rude people,behavior
 478350002914197504 ,stubborn people,behavior
 478367996461588480 ,fake people,behavior
 478368860496986112 ,bossy people,behavior
 478370529838391296 ,sometimey people,other
 478373721699516416 ,black people,race
 478375374246928384 ,ignorant people,behavior
 478379681775763456 ,white people,race
 478380109619945472 ,fake people,behavior
 478381606961295362 ,unappreciative people,behavior
 478385394442985472 ,fake people,behavior
 478391815901433856 ,clingy people,behavior
 478392507978379264 ,white people,race
 478393539772956672 ,greedy people,behavior
 478394764493324288 ,dumb people,other
 478397562131456000 ,white people,race
 478407188042362880 ,old people,physical
 478417795420401664 ,cocky people,behavior
 478421276709498880 ,rude people,behavior
 478426809004859392 ,judgmental people,behavior
 478437798060756992 ,spoiled people,behavior
 478461495899336704 ,fake people,behavior
 478521432490909696 ,selfish people,behavior
 478523672270237696 ,retarded people,disability
 478566504485888000 ,ignorant people,behavior
 478588948185640961 ,french people,ethnicity
 478589229208203264 ,french people,ethnicity
 478590277792579584 ,french people,ethnicity
 478615082927398913 ,new people,other
 478625933570490368 ,clingy people,behavior
 478633017737363457 ,white people,race
 478634397663379457 ,judgmental people,behavior
 478638461965303809 ,negative people,behavior
 478641075016699905 ,ignorant people,behavior
 478644057166454784 ,cocky people,behavior
 478644728250892288 ,iffy people,behavior
 478650633839333377 ,selfish people,behavior
 478650734503010304 ,judgmental people,behavior
 478654786212884480 ,popular people,behavior
 478655121728241665 ,clingy people,behavior
 478655914464247808 ,popular people,behavior
 478672960127913984 ,sneaky people,behavior
 478693587685605376 ,shady people,behavior
 478695114446213120 ,judgmental people,behavior
 478697534530260992 ,pretty people,physical
 478709639312596992 ,spoiled people,behavior
 478711258305527808 ,stupid people,other
 478713321906913280 ,sensitive people,behavior
 478713980421021696 ,cocky people,behavior
 478716505371074560 ,judgmental people,behavior
 478726517199863809 ,rude people,behavior
 478728811459391488 ,clingy people,behavior
 478732309504344064 ,ignorant people,behavior
 478735593648979968 ,friendly people,behavior
 478736323457458177 ,negative people,behavior
 478737690813542400 ,shady people,behavior
 478739678921625602 ,shy people,behavior
 478740836553723904 ,judgemental people,behavior
 478744510764036097 ,sketchy people,behavior
 478744825337233408 ,negative people,behavior
 478751238389919744 ,sneaky people,behavior
 478758255473082369 ,black people,race
 478760965010255873 ,stupid people,other
 478766304334053376 ,drunk people,other
 478766392439615488 ,new people,other
 478776454570713088 ,inconsiderate people,behavior
 478782532104617984 ,random people,other
 478792829129330689 ,white people,race
 478793181438291968 ,white people,race
 478793194021216256 ,white people,race
 478794662023405569 ,white people,race
 478795207308095488 ,white people,race
 478819400053964800 ,sneaky people,behavior
 478823766298857472 ,fake people,behavior
 478854883869589504 ,rude people,behavior
 478861242421886978 ,immature people,behavior
 478885242212974592 ,dirty people,behavior
 478887150650658816 ,happy people,behavior
 478895392449634304 ,fake people,behavior
 478896566854746112 ,bipolar people,disability
 478916510748909568 ,negative people,behavior
 478918515635003392 ,negative people,behavior
 478918880526487552 ,negative people,behavior
 478934101689245696 ,judgmental people,behavior
 478944520336572417 ,serious people,behavior
 478946164486578176 ,ignorant people,behavior
 478969237357072385 ,childish people,behavior
 478970436924215296 ,mean people,behavior
 478972357915062272 ,judgemental people,behavior
 478982201933955073 ,rude people,behavior
 478982306799947776 ,inconsiderate people,behavior
 478991752398118912 ,stupid people,other
 478998043853721600 ,white people,race
 479015819314069504 ,bossy people,behavior
 479021636805738496 ,fake people,behavior
 479023058670596096 ,chinese people,ethnicity
 479026267321556992 ,white people,race
 479027676599300096 ,cocky people,behavior
 479035452830146560 ,white people,race
 479037487076376576 ,white people,race
 479040301445570560 ,fake people,behavior
 479041723323015171 ,white people,race
 479054872449675265 ,nosy people,behavior
 479057292596215808 ,slow people,behavior
 479058991272566784 ,bitter people,behavior
 479060652212760576 ,stupid people,other
 479064007647580160 ,stupid people,other
 479065827988107264 ,white people,race
 479068499755556864 ,white people,race
 479069678346588161 ,white people,race
 479071477694992384 ,messy people,behavior
 479071498670723072 ,cocky people,behavior
 479076238242230272 ,white people,race
 479079518175789056 ,judgemental people,behavior
 479080533205327872 ,white people,race
 479085922882179072 ,fat people,physical
 479089303507959808 ,sneaky people,behavior
 479089358025146368 ,white people,race
 479089873912360960 ,childish people,behavior
 479094282133856256 ,immature people,behavior
 479094458324385792 ,rude people,behavior
 479095087440207872 ,textin people,other
 479095964058140673 ,negative people,behavior
 479096056337018880 ,negative people,behavior
 479096547066388481 ,white people,race
 479100649116684290 ,childish people,behavior
 479106495943278592 ,ignorant people,behavior
 479109222240878593 ,textin people,other
 479110442816512000 ,sneaky people,behavior
 479110795112882176 ,judgmental people,behavior
 479111906624815105 ,messy people,behavior
 479112539964313600 ,weak people,physical
 479114075071606784 ,temporary people,other
 479114171515428864 ,white people,race
 479116801364619264 ,ugly people,physical
 479141296108351490 ,stupid people,other
 479144429249658880 ,ugly people,physical
 479148627730776064 ,childish people,behavior
 479153275011215360 ,white people,race
 479156794061635584 ,white people,race
 479158970897018880 ,shady people,behavior
 479171545399427073 ,rude people,behavior
 479206899226013696 ,ignorant people,behavior
 479211219342340097 ,stupid people,other
 479218907493171200 ,shitty people,behavior
 479238213874483200 ,sneaky people,behavior
 479246162084773889 ,fake people,behavior
 479257407009210368 ,sneaky people,behavior
 479263404889092096 ,black people,race
 479276264604172294 ,fake people,behavior
 479295080247726080 ,petty people,behavior
 479300637687967744 ,unreliable people,behavior
 479303808598945792 ,immature people,behavior
 479319335920738304 ,miserable people,behavior
 479321420473053185 ,rude people,behavior
 479322783638224896 ,stupid people,other
 479332787036487680 ,cocky people,behavior
 479333491692568576 ,childish people,behavior
 479334359913070593 ,white people,race
 479335551095824385 ,white people,race
 479337535014178816 ,white people,race
 479338004771643392 ,white people,race
 479341909664862208 ,jealous people,behavior
 479351581708521472 ,selfish people,behavior
 479355138474119168 ,black people,race
 479369634026504192 ,hot people,physical
 479377661886988288 ,unappreciative people,behavior
 479390932685451266 ,black people,race
 479391805092274178 ,rich people,class
 479395236058132480 ,new people,other
 479402349560352768 ,fake people,behavior
 479405667292549121 ,rude people,behavior
 479407600841158657 ,fake people,behavior
 479413946827300864 ,spoiled people,behavior
 479414420771049473 ,white people,race
 479418250171011072 ,nasty people,behavior
 479418480869920769 ,fat people,physical
 479418552185667584 ,fake people,behavior
 479422809400414210 ,rude people,behavior
 479436604465901568 ,black people,race
 479438642885443584 ,fake people,behavior
 479438768714162176 ,fake people,behavior
 479442086404435968 ,immature people,behavior
 479442472276201472 ,negative people,behavior
 479457827631923200 ,temporary people,other
 479457928307412992 ,ignorant people,behavior
 479462198092132352 ,nice people,behavior
 479465197015666688 ,white people,race
 479466304345104386 ,arrogant people,behavior
 479470708326531072 ,white people,race
 479475636654731264 ,ungrateful people,behavior
 479478614606376960 ,immature people,behavior
 479501347755028480 ,fake people,behavior
 479516296250277888 ,stupid people,other
 479554355352178688 ,arrogant people,behavior
 479596914967461889 ,racist people,race
 479607895655723010 ,sensitive people,behavior
 479612568101588993 ,sometimey people,other
 479614317139357696 ,hypocritical people,behavior
 479625964712779776 ,negative people,behavior
 479626564473073665 ,lazy people,behavior
 479627164279525376 ,fake people,behavior
 479642603512946688 ,negative people,behavior
 479655362560135168 ,black people,race
 479660420903751681 ,negative people,behavior
 479671691019165696 ,black people,race
 479680113156452352 ,racist people,race
 479681023332999168 ,old people,physical
 479685142147895296 ,black people,race
 479693631419207680 ,dumb people,other
 479696630317203456 ,fake people,behavior
 479698928825548800 ,phony people,behavior
 479703194428510209 ,black people,race
 479708651192844288 ,fake people,behavior
 479708844147630080 ,messy people,behavior
 479709209052053504 ,fake people,behavior
 479710584779190272 ,racist people,race
 479712333829120001 ,negative people,behavior
 479713927660457984 ,fake people,behavior
 479718461707268097 ,judgemental people,behavior
 479720332333707264 ,fake people,behavior
 479721154413096961 ,irrelevant people,other
 479731145257799680 ,needy people,behavior
 479731606627028992 ,stupid people,other
 479732940411510785 ,judgemental people,behavior
 479742469903372288 ,white people,race
 479744940335833089 ,disrespectful people,behavior
 479748522263474176 ,white people,race
 479753718988931072 ,sensitive people,behavior
 479754964722790400 ,drunk people,other
 479756113957892098 ,selfish people,behavior
 479759100289359873 ,racist people,race
 479764800377868288 ,white people,race
 479768747213717504 ,cheap people,behavior
 479768877224951808 ,cocky people,behavior
 479769657365127170 ,sneaky people,behavior
 479770735301652480 ,white people,race
 479771284738285569 ,black people,race
 479778238894706688 ,happy people,behavior
 479780130521243648 ,white people,race
 479788229739429888 ,immature people,behavior
 479797494969151488 ,stubborn people,behavior
 479797981516791809 ,childish people,behavior
 479802515543031808 ,white people,race
 479805212496900096 ,disrespectful people,behavior
 479808848933715968 ,black people,race
 479809507447418880 ,shitty people,behavior
 479811298394259456 ,sneaky people,behavior
 479811638141263872 ,white people,race
 479813181640937472 ,white people,race
 479814574175043585 ,fake people,behavior
 479817178825236480 ,judgmental people,behavior
 479818701374386177 ,negative people,behavior
 479828566377373697 ,white people,race
 479829417800126466 ,rich people,class
 479831368151486464 ,rich people,class
 479831632409395201 ,white people,race
 479834878779723777 ,white people,race
 479835822523289600 ,stupid people,other
 479836292268556288 ,sneaky people,behavior
 479836619428876289 ,immature people,behavior
 479837244358811649 ,lazy people,behavior
 479837357626359808 ,dirty people,behavior
 479838188085600259 ,friendly people,behavior
 479840239091847168 ,selfish people,behavior
 479841589678710784 ,dramatic people,behavior
 479852549382483969 ,negative people,behavior
 479853883200520193 ,stupid people,other
 479856471060930560 ,messy people,behavior
 479863932715532288 ,black people,race
 479870345805979649 ,black people,race
 479876163327000576 ,negative people,behavior
 479889387958714368 ,white people,race
 479899080999456768 ,white people,race
 479903992550793216 ,black people,race
 479918374789455872 ,black people,race
 479919251395207168 ,black people,race
 479920434192732160 ,black people,race
 479921105302339584 ,black people,race
 479962830230130688 ,clingy people,behavior
 479990651056959488 ,ugly people,physical
 479991284384694272 ,phony people,behavior
